红黄牌,出场,场均关键传球,创造绝佳机会,场均争顶成功,评分,进球,场均射门,场均射正,把握机会能力,场均过人,场均被侵犯,场均越位,场均抢断,场均拦截,场均解围,场均封堵,场均造越位,场均犯规,致命失误,助攻,创造绝佳机会,场均关键传球,场均传球,传球成功率,前场传球成功率,场均夺回球权,射正率,进球率,把握机会能力,传球成功率,前场传球成功率,中场传球成功率,后场传球成功率,传中成功率,长传成功率,直塞成功率,致命失误/失误
1,2(7),0.6,1,0.1,6.39,1,1,0.4,-,0.8,0.2,0.1,0.2,0.1,0.1,-,-,0.7,-,-,1,0.6,10.3,78%,69%,1.4,44%,11%,-,78%,69%,86%,86%,11%,-,-,-
1,3(1),-,-,0.5,6.48,-,0.3,0.3,-,0.5,-,-,0.3,0.5,1,0.3,0.3,0.8,-,-,-,-,33,77%,74%,2.8,100%,-,-,77%,74%,76%,82%,-,27%,-,-
2,7,-,-,2.4,5.97,-,0.1,-,-,0.1,0.9,-,1,1,3.6,1.1,0.6,1.6,1,-,-,-,42,87%,60%,2.9,-,-,-,87%,60%,86%,94%,-,41%,-,100%
1,4(7),0.1,-,0.5,6.41,-,0.1,-,-,0.2,0.5,-,1.3,0.9,0.4,0.1,-,0.5,-,-,-,0.1,28.5,89%,77%,3.1,-,-,-,89%,77%,89%,97%,50%,47%,-,-
2,0(8),-,-,0.3,5.98,-,0.5,-,-,0.3,0.3,0.4,0.1,-,0.1,-,-,0.6,-,-,-,-,3.6,76%,56%,0.5,-,-,-,76%,56%,100%,100%,14%,-,-,-
0,0(4),-,-,-,6.02,-,-,-,-,-,-,-,-,-,-,-,-,0.5,-,-,-,-,1,100%,-,-,-,-,-,100%,-,100%,-,-,-,-,-
4,28,3.6,21,0.7,7.97,9,2.8,1,36%,1.9,2.4,0.1,1.4,0.7,0.5,-,-,1.1,-,13,21,3.6,63.9,80%,70%,5.4,35%,12%,36%,80%,70%,88%,91%,28%,70%,40%,-
1,7(4),1.5,4,0.5,7.42,9,3,1.7,75%,0.7,0.8,1,0.3,0.1,0.7,-,-,0.5,-,3,4,1.5,20.5,78%,70%,1.8,58%,27%,75%,78%,70%,87%,71%,75%,75%,100%,-
5,25,1.8,9,1.1,7.53,10,3.4,1.1,50%,3.2,3,0.2,0.8,0.2,0.2,0.1,0,2.1,2,6,9,1.8,31.6,74%,64%,3.6,33%,12%,50%,74%,64%,85%,86%,24%,73%,100%,2%
1,14(3),1.4,3,0.4,7.09,4,1.2,0.5,100%,0.6,0.9,-,1.5,0.6,0.8,0.1,-,1.1,-,2,3,1.4,51.8,85%,73%,7.6,38%,19%,100%,85%,73%,89%,94%,17%,66%,67%,-
1,23(2),0.4,-,1.1,6.75,1,0.5,0.1,20%,0.3,0.2,0,1.1,1.1,1.8,0.4,0.2,1.3,1,3,-,0.4,30.5,83%,74%,3.1,17%,8%,20%,83%,74%,86%,86%,38%,44%,-,6%
3,28,0,-,1.1,6.68,-,0.1,-,-,-,0.6,-,0.9,0.8,4.7,0.6,0.9,0.5,-,-,-,0,37.6,89%,62%,4.1,-,-,-,89%,62%,90%,93%,-,64%,-,-
4,24,1.8,9,0.8,6.83,1,1.3,0.3,-,0.3,1.9,0,1.3,0.6,0.5,0.2,0,1.3,-,6,9,1.8,47.1,83%,69%,5.1,27%,3%,-,83%,69%,91%,87%,28%,56%,-,-
2,8(21),0.5,5,1.4,6.76,7,1.1,0.4,83%,0.2,0.8,-,0.8,0.2,0.5,0.1,-,1.4,-,4,5,0.5,11.3,75%,67%,1.7,35%,23%,83%,75%,67%,80%,78%,21%,33%,-,-
2,12(6),0.8,3,0.7,6.61,1,0.4,0.2,-,0.3,0.8,0.1,0.9,0.3,0.7,-,-,1.4,-,2,3,0.8,21.8,81%,71%,3.1,38%,13%,-,81%,71%,85%,89%,26%,47%,-,-
1,15(2),0.8,3,0.9,6.8,4,1.2,0.6,67%,0.1,0.8,0.1,0.7,0.5,0.8,-,-,0.6,-,3,3,0.8,23.5,78%,61%,2.9,48%,19%,67%,78%,61%,86%,86%,16%,43%,100%,-
2,17(2),0.3,-,1.3,6.72,-,0.3,0.1,-,0.1,0.3,-,1.5,1.3,3.5,0.5,0.6,1.3,1,1,-,0.3,43.5,86%,75%,4.4,17%,-,-,86%,75%,88%,92%,33%,58%,-,50%
3,10(1),0.5,-,0.8,6.63,-,0.1,-,-,0.5,0.9,-,1.5,1,2.1,0.1,0.3,1,-,-,-,0.5,24.9,80%,64%,3.2,-,-,-,80%,64%,85%,79%,-,49%,-,-
6,23(3),0.2,1,1.9,6.83,2,0.5,0.1,100%,0.2,0.5,-,2,1.4,1.5,0.2,-,1.2,-,1,1,0.2,36,84%,71%,4,25%,17%,100%,84%,71%,86%,92%,-,50%,-,-
3,14(5),0.1,-,0.7,6.61,-,0.1,-,-,0.1,0.4,-,1.4,1,2.7,0.4,0.3,1,-,1,-,0.1,31.4,86%,50%,3.1,-,-,-,86%,50%,87%,93%,-,47%,100%,-
3,24(2),0.4,-,1.5,6.81,-,0.5,0.1,-,0.4,0.6,0,1.2,0.7,3.5,0.3,0.3,1,-,-,-,0.4,36.7,86%,76%,5,15%,-,-,86%,76%,88%,91%,31%,54%,-,-
3,10(1),0.2,1,1.1,6.68,-,0.4,0.1,-,0.6,1.7,-,1.7,1.4,0.5,0.3,-,1.5,-,-,1,0.2,26,85%,71%,2.8,25%,-,-,85%,71%,90%,91%,33%,42%,-,-
4,15(4),0.4,3,1.3,6.64,2,0.6,0.2,40%,0.1,0.4,0.3,0.9,0.6,1.3,0.2,0.2,0.8,-,2,3,0.4,25.5,81%,65%,2.8,36%,18%,40%,81%,65%,87%,92%,24%,35%,-,-
6,16(1),0.2,2,3.4,6.57,3,1,0.4,67%,0.1,0.9,-,1.5,1.2,3.3,0.5,0.5,2.4,1,1,2,0.2,38.5,72%,46%,2.8,35%,18%,67%,72%,46%,74%,85%,22%,50%,-,13%
3,11(7),0.3,1,0.7,6.57,-,0.3,0.1,-,0.3,1.2,-,1.4,1.1,0.5,0.2,-,1.6,-,1,1,0.3,25.3,89%,80%,2.7,20%,-,-,89%,80%,91%,93%,33%,70%,-,-
0,0(5),-,-,0.2,6.13,-,-,-,-,-,-,-,1,0.4,-,-,-,0.6,-,-,-,-,4.2,71%,67%,0.6,-,-,-,71%,67%,78%,67%,-,60%,-,-
0,0(7),-,-,-,6.05,-,-,-,-,0.1,0.3,-,0.1,0.1,0.3,-,-,0.6,-,-,-,-,2.4,71%,60%,0.3,-,-,-,71%,60%,70%,100%,-,-,-,-
0,0(1),-,-,-,6.01,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,4,100%,100%,-,-,-,-,100%,100%,100%,-,-,-,-,-
0,0(1),-,-,-,6.04,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,2,50%,-,-,-,-,-,50%,-,-,100%,-,-,-,-
0,0(1),-,-,-,6.11,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,3,100%,-,-,-,-,-,100%,-,100%,100%,-,-,-,-
0,0(2),-,-,-,6.1,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,4,75%,75%,0.5,-,-,-,75%,75%,67%,100%,-,-,-,-
0,0(6),-,-,0.2,6.08,-,-,-,-,0.2,0.3,0.2,0.3,-,-,-,-,0.5,-,-,-,-,1.8,91%,-,0.8,-,-,-,91%,-,90%,100%,-,100%,-,-
0,0(1),-,-,1,6.17,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,80%,-,1,-,-,-,80%,-,100%,100%,-,-,-,-
