红黄牌,出场,场均关键传球,创造绝佳机会,场均争顶成功,评分,进球,场均射门,场均射正,把握机会能力,场均过人,场均被侵犯,场均越位,场均抢断,场均拦截,场均解围,场均封堵,场均造越位,场均犯规,致命失误,助攻,创造绝佳机会,场均关键传球,场均传球,传球成功率,前场传球成功率,场均夺回球权,射正率,进球率,把握机会能力,传球成功率,前场传球成功率,中场传球成功率,后场传球成功率,传中成功率,长传成功率,直塞成功率,致命失误/失误
0,2(2),0.3,-,3.3,6.08,-,-,-,-,-,0.3,-,-,0.8,1.8,-,0.3,0.3,-,-,-,0.3,23.5,62%,35%,1.5,-,-,-,62%,35%,75%,92%,-,26%,-,-
2,13(6),0.8,-,0.6,6.53,2,1,0.2,33%,1.2,1.2,-,1.4,0.4,0.2,0.1,-,1.2,1,-,-,0.8,25.3,83%,70%,4.4,21%,11%,33%,83%,70%,89%,92%,30%,60%,-,3%
8,24,0.2,-,1.1,6.29,1,0.8,0.2,-,0.2,0.2,-,1.5,0.9,0.8,0.2,-,1.8,-,-,-,0.2,31.5,79%,64%,4.5,28%,6%,-,79%,64%,83%,86%,-,58%,-,-
3,24(6),0.7,3,0.8,6.38,1,1.9,0.5,50%,0.2,1.3,0.1,1.1,0.5,0.5,0.2,0,1.4,-,3,3,0.7,23.1,74%,59%,3.6,25%,2%,50%,74%,59%,83%,84%,13%,36%,50%,-
0,4(10),0.4,1,0.4,6.08,-,0.3,-,-,-,0.2,0.1,0.4,-,0.1,-,0.1,0.4,-,1,1,0.4,5.7,80%,82%,1,-,-,-,80%,82%,75%,100%,33%,75%,-,-
2,13(4),1,4,0.3,6.44,-,0.5,0.1,-,0.5,0.4,0.1,2.1,0.6,0.9,0.1,0.1,0.8,-,1,4,1,20.8,77%,64%,3.1,13%,-,-,77%,64%,84%,77%,24%,43%,-,-
3,16,0.6,-,1.9,6.66,1,0.4,0.1,50%,0.9,1.1,0.2,1.7,1.2,1.9,0.1,0.1,1.3,-,1,-,0.6,29.2,71%,57%,3.6,17%,17%,50%,71%,57%,75%,83%,25%,32%,-,-
0,1(3),0.8,-,-,6.65,2,1.3,0.8,-,0.8,0.5,-,0.3,-,0.3,-,-,0.8,-,-,-,0.8,17.3,90%,83%,2.5,60%,40%,-,90%,83%,94%,100%,50%,75%,-,-
4,21(1),1.2,1,0.9,6.43,-,0.2,-,-,0.6,1.2,-,1.2,0.8,1.9,0.3,0.2,1,-,2,1,1.2,38.6,78%,71%,4.7,-,-,-,78%,71%,78%,88%,25%,43%,-,-
2,4(10),0.1,-,0.3,6.05,-,0.1,-,-,-,0.1,-,0.9,0.4,0.8,0.1,0.1,0.6,1,-,-,0.1,11.6,75%,60%,1.5,-,-,-,75%,60%,75%,96%,-,41%,-,50%
0,6(2),0.3,2,0.3,6.3,-,0.4,0.3,-,-,0.3,-,0.9,0.4,0.1,-,-,0.5,-,1,2,0.3,6.9,71%,54%,0.5,67%,-,-,71%,54%,82%,89%,100%,57%,-,-
9,18(2),0.1,-,1.8,6.11,1,0.3,0.1,-,0.1,0.5,-,0.7,0.8,2.8,0.4,0.6,1.3,1,-,-,0.1,28,80%,29%,3.7,33%,17%,-,80%,29%,85%,89%,-,42%,-,14%
1,3(3),1.3,-,0.5,6.35,-,1.3,-,-,0.2,1.3,-,1.5,0.3,0.5,-,-,1.8,-,-,-,1.3,14,81%,75%,2.5,-,-,-,81%,75%,83%,100%,13%,50%,-,-
0,2(7),0.2,-,0.2,6.11,-,0.1,-,-,-,-,-,0.4,0.1,0.1,-,-,0.3,-,-,-,0.2,5.9,77%,60%,0.6,-,-,-,77%,60%,86%,91%,50%,33%,-,-
0,1(4),0.2,-,0.2,6.03,-,0.4,-,-,0.2,1.2,-,0.4,-,0.2,-,-,0.4,-,-,-,0.2,8.6,79%,65%,1.8,-,-,-,79%,65%,86%,100%,9%,-,-,-
0,0(1),1,-,-,6.61,-,-,-,-,-,1,-,2,1,-,1,1,-,-,-,-,1,12,75%,40%,-,-,-,-,75%,40%,100%,100%,100%,50%,-,-
2,7(5),0.5,1,-,6.41,1,1.3,0.5,50%,2.4,1.8,0.7,0.7,0.3,0.1,0.1,-,1.8,1,1,1,0.5,11.5,74%,63%,2.3,40%,7%,50%,74%,63%,90%,89%,40%,25%,-,6%
5,18(7),0.9,4,0.3,6.37,-,0.9,0.2,-,0.7,1.1,0.2,1.3,0.6,0.2,-,0,1.6,-,5,4,0.9,20.8,74%,63%,3.8,27%,-,-,74%,63%,82%,80%,13%,59%,50%,-
1,10(1),1,-,1,6.56,1,0.6,0.2,-,1.3,1.3,-,1.6,0.8,1.9,0.4,-,1,-,-,-,1,32.7,73%,61%,6.4,29%,14%,-,73%,61%,75%,91%,16%,51%,-,-
3,11(7),0.3,-,0.4,5.96,-,0.1,-,-,0.1,0.4,-,0.9,1,1.5,0.3,0.1,1.2,1,-,-,0.3,20,71%,56%,3.2,-,-,-,71%,56%,74%,80%,26%,28%,-,11%
5,15(7),0.6,1,0.5,6.25,-,0.3,0,-,0.1,0.8,0.1,1.2,0.9,0.9,0.3,-,1,1,-,1,0.6,22,79%,67%,2.5,17%,-,-,79%,67%,83%,80%,40%,47%,-,7%
5,17(7),0.5,2,0.4,6.31,-,0.1,0,-,0.7,0.9,0.1,1.8,1,1,0.1,0.1,1.3,-,-,2,0.5,19.2,71%,66%,4.7,33%,-,-,71%,66%,71%,76%,13%,38%,-,-
4,12(3),0.3,1,0.5,6.17,-,0.1,-,-,0.2,0.9,0.1,1.1,1.1,2.7,0.4,0.3,1.9,-,-,1,0.3,22.7,70%,52%,2.8,-,-,-,70%,52%,73%,86%,27%,46%,-,-
1,1(4),0.2,-,0.4,5.86,-,0.2,-,-,0.2,0.6,-,0.2,0.2,-,-,-,0.6,-,-,-,0.2,10.2,69%,59%,1.8,-,-,-,69%,59%,70%,86%,33%,50%,-,-
0,4(4),0.3,1,0.4,6.21,1,1,0.3,-,0.1,0.3,-,1.1,0.9,2,-,0.9,1,-,-,1,0.3,21.6,77%,59%,3.5,25%,13%,-,77%,59%,72%,94%,33%,53%,-,-
1,17,0.1,-,1.5,6.21,-,0.4,0.1,-,0.1,0.4,-,0.6,0.8,4.1,1.1,0.3,0.6,-,-,-,0.1,24.5,83%,67%,2.5,17%,-,-,83%,67%,82%,92%,-,55%,-,-
0,2(6),0.4,2,0.5,6.15,-,0.8,0.4,-,0.5,0.5,-,0.1,-,0.5,-,-,0.9,-,-,2,0.4,11.5,75%,56%,1.5,50%,-,-,75%,56%,80%,93%,18%,25%,-,-
0,1(3),-,-,0.3,5.96,-,-,-,-,-,-,-,0.3,-,0.3,-,-,1,-,-,-,-,3.8,60%,33%,0.8,-,-,-,60%,33%,63%,75%,-,-,-,-
0,2(4),-,-,0.5,5.78,-,0.3,-,-,-,0.2,-,-,0.7,1.3,0.5,0.2,0.5,2,-,-,-,13,78%,56%,2.2,-,-,-,78%,56%,75%,100%,-,45%,-,50%
1,0(4),-,-,0.3,6.01,-,-,-,-,-,0.3,-,0.3,0.3,-,0.3,-,0.3,-,-,-,-,6.8,74%,80%,0.5,-,-,-,74%,80%,71%,80%,-,-,-,-
